iter	Passed	Remaining
0	88	7026
1	160	6245
2	225	5785
3	291	5529
4	344	5163
5	406	5010
6	467	4872
7	538	4850
8	609	4805
9	722	5056
10	761	4778
11	832	4715
12	921	4746
13	1030	4856
14	1147	4974
15	1402	5610
16	1513	5609
17	1631	5620
18	1819	5840
19	1878	5636
20	2019	5673
21	2104	5548
22	2213	5484
23	2292	5348
24	2357	5185
25	2406	4998
26	2446	4801
27	2488	4621
28	2518	4429
29	2555	4259
30	2595	4102
31	2632	3948
32	2669	3801
33	2704	3659
34	2739	3521
35	2771	3387
36	2804	3259
37	2839	3138
38	2873	3020
39	2920	2920
40	2953	2809
41	2987	2703
42	3020	2599
43	3053	2498
44	3129	2433
45	3181	2351
46	3226	2265
47	3293	2195
48	3332	2108
49	3370	2022
50	3404	1936
51	3438	1851
52	3471	1768
53	3504	1687
54	3539	1608
55	3578	1533
56	3610	1456
57	3643	1381
58	3675	1308
59	3708	1236
60	3741	1165
61	3774	1095
62	3807	1027
63	3840	960
64	3877	894
65	3937	835
66	3970	770
67	4002	706
68	4035	643
69	4068	581
70	4100	519
71	4133	459
72	4165	399
73	4197	340
74	4230	282
75	4262	224
76	4295	167
77	4327	110
78	4360	55
79	4392	0

79	6136	0
